VARIABLES= x,y,z,U,V,W
ZONE I=11,J=11,K=27,DATAPACKING=point
0	0	40	11.59297	4.38481	0.00000
0	359.99	40	11.76803	4.71462	0.00000
0	719.98	40	11.94531	5.05719	0.00000
0	1079.97	40	12.12382	5.41260	-0.00000
0	1439.96	40	12.30190	5.78038	-0.00000
0	1799.95	40	12.47022	6.15738	0.00018
0	2159.94	40	12.60856	6.53720	0.00010
0	2519.93	40	12.73122	6.91985	-0.00010
0	2879.92	40	12.82445	7.30597	-0.00108
0	3239.91	40	12.90734	7.70246	-0.00210
0	3599.9	40	12.97478	8.11141	-0.00460
359.99	0	40	11.44234	4.62477	0.00000
359.99	359.99	40	11.61353	4.96841	-0.00000
359.99	719.98	40	11.78407	5.32527	-0.00000
359.99	1079.97	40	11.95172	5.69486	0.00001
359.99	1439.96	40	12.11411	6.07637	0.00004
359.99	1799.95	40	12.26376	6.46679	0.00014
359.99	2159.94	40	12.38481	6.86086	0.00001
359.99	2519.93	40	12.49421	7.25865	-0.00016
359.99	2879.92	40	12.58316	7.66188	-0.00085
359.99	3239.91	40	12.65875	8.07575	-0.00163
359.99	3599.9	40	12.71289	8.50134	-0.00344
719.98	0	40	11.29411	4.84469	-0.00000
719.98	359.99	40	11.46214	5.20193	-0.00000
719.98	719.98	40	11.62635	5.57247	0.00000
719.98	1079.97	40	11.78358	5.95538	0.00003
719.98	1439.96	40	11.93051	6.34947	0.00008
719.98	1799.95	40	12.06182	6.75193	0.00008
719.98	2159.94	40	12.16273	7.15806	-0.00001
719.98	2519.93	40	12.25215	7.56800	-0.00012
719.98	2879.92	40	12.32622	7.98467	-0.00058
719.98	3239.91	40	12.38657	8.41228	-0.00113
719.98	3599.9	40	12.42894	8.85302	-0.00232
1079.97	0	40	11.14482	5.04495	-0.00000
1079.97	359.99	40	11.30991	5.41478	0.00000
1079.97	719.98	40	11.46816	5.79781	0.00001
1079.97	1079.97	40	11.61565	6.19263	0.00004
1079.97	1439.96	40	11.74794	6.59768	0.00006
1079.97	1799.95	40	11.86133	7.01049	0.00003
1079.97	2159.94	40	11.94273	7.42681	-0.00007
1079.97	2519.93	40	12.01182	7.84710	-0.00019
1079.97	2879.92	40	12.06839	8.27498	-0.00042
1079.97	3239.91	40	12.11041	8.71366	-0.00068
1079.97	3599.9	40	12.13633	9.16643	-0.00114
